Date,Universe,TimAlg,Signal,Buy/Sell,Value,Frac,DD,spyEC,spyRetNxt,qqqEC,qqqRetNxt
12/31/1999,SPY,"absm2M(5,1)(spy,tbill)",1,,0.091751,,0,98.16,-4.90%,79.22,-1.50%
1/31/2000,SPY,"absm2M(5,1)(spy,tbill)",1,,0.042273,,-0.0502,93.32,-1.60%,78.03,18.90%
2/29/2000,SPY,"absm2M(5,1)(spy,tbill)",1,,0.049039,,-0.0651,91.85,9.70%,92.77,2.30%
3/31/2000,SPY,"absm2M(5,1)(spy,tbill)",1,,0.091853,,-0.0208,100.76,-3.50%,94.93,-13.70%
4/28/2000,SPY,"absm2M(5,1)(spy,tbill)",1,,0.024232,,-0.0549,97.24,-1.60%,81.93,-12.20%
5/31/2000,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.02086,,-0.07,95.69,1.90%,71.96,12.30%
6/30/2000,SPY,"absm2M(5,1)(spy,tbill)",1,,0.021913,,-0.0519,97.55,-1.60%,80.79,-4%
7/31/2000,SPY,"absm2M(5,1)(spy,tbill)",1,,0.020887,,-0.0674,95.96,6.60%,77.59,13.80%
8/31/2000,SPY,"absm2M(5,1)(spy,tbill)",1,,0.060878,,-0.0056,102.31,-5.50%,88.32,-12.90%
9/29/2000,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.030085,,-0.0601,96.7,-0.50%,76.89,-7.90%
10/31/2000,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.009848,,-0.0645,96.25,-7.50%,70.83,-22.90%
11/30/2000,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.07965,,-0.1344,89.07,-0.20%,54.61,-7.30%
12/29/2000,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.006563,,-0.1362,88.88,4.40%,50.61,10.10%
1/31/2001,SPY,"absm2M(5,1)(spy,tbill)",1,,0.040241,,-0.0978,92.83,-9.50%,55.75,-26.20%
2/28/2001,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.098983,,-0.1839,83.97,-5.60%,41.14,-17.50%
3/30/2001,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.059839,,-0.2296,79.27,7%,33.94,17.90%
4/30/2001,SPY,"absm2M(5,1)(spy,tbill)",1,,0.06742,,-0.1753,84.85,0.80%,40.01,-3.10%
5/31/2001,SPY,"absm2M(5,1)(spy,tbill)",1,,0.005218,,-0.1685,85.56,-2.40%,38.78,2.20%
6/29/2001,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.02667,,-0.1883,83.52,-1%,39.62,-8.60%
7/31/2001,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.013069,,-0.1965,82.67,-5.90%,36.2,-13.40%
8/31/2001,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.033936,,-0.2442,77.76,-8.20%,31.36,-19.90%
9/28/2001,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.083229,,-0.3059,71.42,1.30%,25.12,17%
10/31/2001,SPY,"absm2M(5,1)(spy,tbill)",1,,0.011064,,-0.2969,72.35,7.80%,29.39,17%
11/30/2001,SPY,"absm2M(5,1)(spy,tbill)",1,,0.076429,,-0.242,77.99,0.60%,34.38,-1.90%
12/31/2001,SPY,"absm2M(5,1)(spy,tbill)",1,,0.004311,,-0.2378,78.43,-1%,33.73,-1%
1/31/2002,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.009171,,-0.2452,77.66,-1.80%,33.39,-12.30%
2/28/2002,SPY,"absm2M(5,1)(spy,tbill)",1,,0.060411,,-0.2588,76.26,3.30%,29.29,6.70%
3/28/2002,SPY,"absm2M(5,1)(spy,tbill)",1,,0.082315,,-0.2341,78.8,-5.80%,31.26,-12%
4/30/2002,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.055169,,-0.2787,74.22,-0.60%,27.51,-5.30%
5/31/2002,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.007424,,-0.2829,73.78,-7.40%,26.04,-13.10%
6/28/2002,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.075138,,-0.3359,68.33,-7.90%,22.63,-8.60%
7/31/2002,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.080271,,-0.3882,62.95,0.70%,20.68,-1.50%
8/30/2002,SPY,"absm2M(5,1)(spy,tbill)",1,,0.005407,,-0.384,63.38,-10.50%,20.37,-11.80%
9/30/2002,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.106132,,-0.4486,56.73,8.20%,17.96,18.50%
10/31/2002,SPY,"absm2M(5,1)(spy,tbill)",1,,0.080857,,-0.4033,61.4,6.20%,21.28,12.90%
11/29/2002,SPY,"absm2M(5,1)(spy,tbill)",1,,0.060704,,-0.3665,65.19,-5.70%,24.03,-12.10%
12/31/2002,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.029099,,-0.4023,61.5,-2.50%,21.13,0.30%
1/31/2003,SPY,"absm2M(5,1)(spy,tbill)",0,SELL,-0.025559,,-0.417,59.99,-1.30%,21.19,2.90%
2/28/2003,SPY,"absm2M(5,1)(spy,tbill)",1,,0.037897,,-0.4249,59.18,0.20%,21.81,0.40%
3/31/2003,SPY,"absm2M(5,1)(spy,tbill)",1,,0.00121,,-0.4236,59.3,8.50%,21.89,8.70%
4/30/2003,SPY,"absm2M(5,1)(spy,tbill)",1,,0.083679,,-0.3749,64.32,5.50%,23.8,8.50%
5/30/2003,SPY,"absm2M(5,1)(spy,tbill)",1,,0.098681,,-0.3406,67.85,1.10%,25.83,0.50%
6/30/2003,SPY,"absm2M(5,1)(spy,tbill)",1,,0.138752,,-0.3335,68.57,1.80%,25.97,6.20%
7/31/2003,SPY,"absm2M(5,1)(spy,tbill)",1,,0.175359,,-0.3215,69.81,2.10%,27.57,5%
