Date	Open	High	Low	Close	Volume	Unadjusted Close	Turnover
19930129	25.74097	25.74097	25.59471	25.74097	1714807	44	44078100
19930201	25.74097	25.88722	25.74097	25.88722	821336.7	44.25	21262120
19930202	25.88722	25.96035	25.81409	25.96035	344089.6	44.375	8926397
19930203	25.96035	26.25286	25.96035	26.17973	904923.2	44.75	23723740
19930204	26.32599	26.39912	26.25286	26.32599	908512.9	45	23917500
19930205	26.32599	26.32599	26.17973	26.32599	841165	45	22129120
19930208	26.32599	26.39912	26.25286	26.32599	1018936	45	26805870
19930209	26.17973	26.17973	26.03348	26.10661	208710.1	44.625	5452528
19930210	26.10661	26.17973	26.03348	26.17973	648864.5	44.75	16975240
19930211	26.17973	26.39912	26.17973	26.32599	33332.08	45	876281
19930212	26.25286	26.25286	26.10661	26.10661	72646.84	44.625	1896562
19930216	26.03348	26.03348	25.37533	25.44846	640659.7	43.5	16292090
19930217	25.44846	25.44846	25.3022	25.44846	360499.3	43.5	9160969
19930218	25.74097	25.74097	25.00969	25.37533	646300.5	43.375	16411900
19930219	25.37533	25.44846	25.37533	25.44846	59655.88	43.5	1518150
19930222	25.59471	25.59471	25.44846	25.59471	877915.8	43.75	22453950
19930223	25.66784	25.66784	25.44846	25.59471	638779.4	43.75	16326020
19930224	25.59471	25.88722	25.59471	25.88722	44955.58	44.25	1163775
19930225	25.88722	25.96035	25.81409	25.96035	76065.52	44.375	1973297
19930226	26.03348	26.03348	25.88722	25.96035	113158.1	44.375	2939694
19930301	26.03348	26.03348	25.88722	25.88722	113670.9	44.25	2944703
19930302	25.88722	26.32599	25.88722	26.32599	311783.2	45	8196600
19930303	26.32599	26.39912	26.32599	26.39912	478785.4	45.125	12639510
19930304	26.47224	26.47224	26.25286	26.25286	152985.7	44.875	4016312
19930305	26.32599	26.39912	26.17973	26.17973	68373.5	44.75	1790000
19930308	26.25286	26.76476	26.25286	26.76476	86834.34	45.75	2324100
19930309	26.69163	26.76476	26.6185	26.69163	289390.8	45.625	7719022
19930310	26.69163	26.76476	26.54537	26.76476	332295.2	45.75	8881650
19930311	26.76476	26.83788	26.6185	26.6185	121192	45.5	3230381
19930312	26.47224	26.47224	26.17973	26.39912	1100130	45.125	29022340
19930315	26.32599	26.47224	26.32599	26.47224	531262.1	45.25	14063700
19930316	26.47224	26.6185	26.47224	26.47224	52647.59	45.25	1395625
19930317	26.47224	26.47224	26.32599	26.32599	37263.56	45	981681
19930318	26.47224	26.6185	26.47224	26.47224	101363.7	45.25	2687031
19930319	26.59756	26.59756	26.45061	26.45061	113815.9	45	3012591
19930322	26.23018	26.37713	26.15671	26.30366	312015.5	44.75	8212881
19930323	26.37713	26.45061	26.30366	26.37713	93910.89	44.875	2477100
19930324	26.30366	26.45061	26.23018	26.37713	63287.77	44.875	1669350
19930325	26.37713	26.59756	26.37713	26.52408	187311.4	45.125	4971703
19930326	26.52408	26.52408	26.37713	26.37713	172680.3	44.875	4557984
19930329	26.45061	26.59756	26.45061	26.52408	148181.9	45.125	3927666
19930330	26.52408	26.59756	26.52408	26.59756	95271.91	45.25	2532250
19930331	26.67103	26.7445	26.59756	26.59756	189863.3	45.25	5049900
